               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046307,            0.013362,            0.018324,              0.3505,             0.30733,             0.29355,             0.14073,            0.051626,            0.007276,            0.024209,            0.002872,            0.002872,            0.002872
                  38,            0.045126,            0.012788,            0.018928,             0.42766,             0.28415,             0.29804,             0.13635,            0.051454,           0.0073837,             0.02363,            0.002674,            0.002674,            0.002674
                  39,            0.044963,            0.012808,            0.019075,             0.45837,             0.30017,             0.32114,             0.14674,            0.051106,           0.0071841,            0.023771,            0.002476,            0.002476,            0.002476
                  40,            0.045435,            0.013002,            0.018984,             0.31811,             0.29924,             0.29874,             0.14448,            0.050949,           0.0074257,            0.023721,            0.002278,            0.002278,            0.002278
                  41,            0.044557,            0.013299,            0.018491,             0.42916,             0.30551,             0.32425,             0.14512,            0.050839,           0.0072226,            0.024024,             0.00208,             0.00208,             0.00208
                  42,            0.044247,            0.012643,             0.01755,             0.55543,              0.2713,             0.33605,             0.16097,            0.050972,           0.0074968,            0.023563,            0.001882,            0.001882,            0.001882
                  43,            0.044835,             0.01289,            0.018022,             0.39465,             0.27988,             0.31535,               0.145,            0.051156,           0.0074571,            0.023875,            0.001684,            0.001684,            0.001684
                  44,             0.04439,            0.012638,            0.018336,             0.40574,             0.30424,             0.31515,             0.14857,            0.051244,           0.0073935,            0.024034,            0.001486,            0.001486,            0.001486
                  45,            0.044034,            0.012961,             0.01796,             0.43748,             0.29296,             0.30919,             0.14763,            0.051448,           0.0073062,            0.024186,            0.001288,            0.001288,            0.001288
                  46,            0.044042,            0.012611,            0.018152,             0.49179,             0.29498,             0.30172,             0.14131,            0.051409,           0.0072854,            0.024143,             0.00109,             0.00109,             0.00109
                  47,            0.043646,            0.012555,             0.01796,             0.36299,             0.29609,             0.29485,             0.13732,            0.051198,           0.0073849,            0.024025,            0.000892,            0.000892,            0.000892
                  48,             0.04316,            0.012471,            0.018025,             0.34483,             0.29808,             0.30373,              0.1402,            0.051058,           0.0073917,            0.024237,            0.000694,            0.000694,            0.000694
                  49,            0.042843,            0.012177,            0.017108,             0.35815,              0.3048,             0.29904,             0.14076,            0.051039,           0.0073635,            0.024233,            0.000496,            0.000496,            0.000496
